Algoritmo,Parámetros,¿Empieza X?,X Gana,Empates,O Gana,Prom. Nodos,Tiempo (s)
Minimax,k=2,True,281,15,4,158.59333333333333,0.22
Minimax,k=2,False,224,52,24,119.31333333333333,0.16
Minimax,k=3,True,280,12,8,920.0933333333334,1.17
Minimax,k=3,False,214,56,30,581.4666666666667,0.64
Alpha-Beta,k=3,True,283,12,5,240.52666666666667,0.26
Alpha-Beta,k=3,False,212,53,35,170.75,0.2
Alpha-Beta,k=4,True,281,6,13,444.4166666666667,0.55
Alpha-Beta,k=4,False,224,36,40,374.78333333333336,0.44
MCTS,"sims=100, c=1.0",True,229,19,52,N/A,3.74
MCTS,"sims=100, c=1.0",False,132,14,154,N/A,8.29
MCTS,"sims=200, c=1.41",True,238,16,46,N/A,13.58
MCTS,"sims=200, c=1.41",False,122,16,162,N/A,6.28
